Unnamed: 0,count,hate_speech,offensive_language,neither,class,tweet,tweet_tokens
0,3,0,0,3,1,retweet as a woman you should not complain about cleaning up your house andamp as a man you should always take the trash out,"['retweet', 'woman', 'complain', 'cleaning', 'house', 'andamp', 'man', 'always', 'take', 'trash']"
1,3,0,3,0,0,retweet boy dats coldtyga down bad for cuffin dat hoe in the st place,"['retweet', 'boy', 'dat', 'coldtyga', 'bad', 'cuffin', 'dat', 'hoe', 'st', 'place']"
2,3,0,3,0,0,retweet dawg retweet you ever fuck a bitch and she start to cry you be confused as shit,"['retweet', 'dawg', 'retweet', 'ever', 'fuck', 'bitch', 'start', 'cry', 'confused', 'shit']"
3,3,0,2,1,0,retweet she look like a tranny,"['retweet', 'look', 'like', 'tranny']"
4,6,0,6,0,0,retweet the shit you hear about me might be true or it might be faker than the bitch who told it to ya and,"['retweet', 'shit', 'hear', 'might', 'true', 'might', 'faker', 'bitch', 'told', 'ya']"
5,3,1,2,0,0,the shit just blows meclaim you so faithful and down for somebody but still fucking with hoes andandand,"['shit', 'blow', 'meclaim', 'faithful', 'somebody', 'still', 'fucking', 'hoe', 'andandand']"
6,3,0,3,0,0,i can not just sit up and hate on another bitch i got too much shit going on,"['sit', 'hate', 'another', 'bitch', 'got', 'much', 'shit', 'going']"
7,3,0,3,0,0,and cause i am tired of you big bitches coming for us skinny girlsand,"['cause', 'tired', 'big', 'bitch', 'coming', 'u', 'skinny', 'girlsand']"
8,3,0,3,0,0,andamp you might not get ya bitch back andamp thats that,"['andamp', 'might', 'get', 'ya', 'bitch', 'back', 'andamp', 'thats']"
9,3,1,2,0,0,hobbies include fighting mariam bitch,"['hobby', 'include', 'fighting', 'mariam', 'bitch']"
10,3,0,3,0,0,keeks is a bitch she curves everyone laughing out loud i walked into a conversation like this shake my head,"['keeks', 'bitch', 'curve', 'everyone', 'laughing', 'loud', 'walked', 'conversation', 'like', 'shake', 'head']"
11,3,0,3,0,0,murda gang bitch it is gang land,"['murda', 'gang', 'bitch', 'gang', 'land']"
12,3,0,2,1,0,so hoes that smoke are losers yea go on instagram,"['hoe', 'smoke', 'loser', 'yea', 'go', 'instagram']"
13,3,0,3,0,0,bad bitches is the only thing that i like,"['bad', 'bitch', 'thing', 'like']"
14,3,1,2,0,0,bitch get up off me,"['bitch', 'get']"
15,3,0,3,0,0,bitch nigga miss me with it,"['bitch', 'nigga', 'miss']"
16,3,0,3,0,0,bitch please whatever,"['bitch', 'please', 'whatever']"
